Fecha, Hora,Sistema, Area, Pronostico (MWh),,,
01/01/2020,24,SIN,PEN,1295.276,,,
02/01/2020,1,BCA,BCA,961.84,,,
02/01/2020,2,BCA,BCA,928.421,,,
02/01/2020,3,BCA,BCA,909.688,,,
02/01/2020,4,BCA,BCA,902.43,,,
02/01/2020,5,BCA,BCA,923.535,,,
02/01/2020,6,BCA,BCA,974.471,,,
02/01/2020,7,BCA,BCA,1067.736,,,
02/01/2020,8,BCA,BCA,1158.01,,,
02/01/2020,9,BCA,BCA,1241.579,,,
02/01/2020,10,BCA,BCA,1304.463,,,
02/01/2020,11,BCA,BCA,1346.796,,,
02/01/2020,12,BCA,BCA,1376.132,,,
02/01/2020,13,BCA,BCA,1382.386,,,
02/01/2020,14,BCA,BCA,1393.591,,,
02/01/2020,15,BCA,BCA,1406.096,,,
02/01/2020,16,BCA,BCA,1402.002,,,
02/01/2020,17,BCA,BCA,1418.1,,,
02/01/2020,18,BCA,BCA,1522.773,,,
02/01/2020,19,BCA,BCA,1536.757,,,
02/01/2020,20,BCA,BCA,1524.823,,,
02/01/2020,21,BCA,BCA,1497.501,,,
02/01/2020,22,BCA,BCA,1433.176,,,
02/01/2020,23,BCA,BCA,1345.833,,,
02/01/2020,24,BCA,BCA,1257.404,,,
02/01/2020,1,BCS,BCS,194.583,,,
02/01/2020,2,BCS,BCS,184.121,,,
02/01/2020,3,BCS,BCS,178.39,,,
02/01/2020,4,BCS,BCS,176.312,,,
02/01/2020,5,BCS,BCS,176.984,,,
02/01/2020,6,BCS,BCS,184.456,,,
02/01/2020,7,BCS,BCS,197.754,,,
02/01/2020,8,BCS,BCS,209.515,,,
02/01/2020,9,BCS,BCS,226.603,,,
02/01/2020,10,BCS,BCS,239.825,,,
02/01/2020,11,BCS,BCS,248.34,,,
02/01/2020,12,BCS,BCS,252.464,,,
02/01/2020,13,BCS,BCS,253.92,,,
02/01/2020,14,BCS,BCS,255.148,,,
02/01/2020,15,BCS,BCS,255.929,,,
02/01/2020,16,BCS,BCS,256.479,,,
02/01/2020,17,BCS,BCS,258.378,,,
02/01/2020,18,BCS,BCS,264.915,,,
02/01/2020,19,BCS,BCS,286.774,,,
02/01/2020,20,BCS,BCS,283.335,,,
02/01/2020,21,BCS,BCS,275.385,,,
02/01/2020,22,BCS,BCS,261.304,,,
02/01/2020,23,BCS,BCS,239.679,,,
02/01/2020,24,BCS,BCS,220.371,,,
02/01/2020,1,SIN,CEN,4796.893,,,
02/01/2020,2,SIN,CEN,4560.212,,,
02/01/2020,3,SIN,CEN,4474.25,,,
02/01/2020,4,SIN,CEN,4399.498,,,
02/01/2020,5,SIN,CEN,4468.478,,,
02/01/2020,6,SIN,CEN,4689.464,,,
02/01/2020,7,SIN,CEN,5226.607,,,
02/01/2020,8,SIN,CEN,5482.317,,,
02/01/2020,9,SIN,CEN,5836.539,,,
